2020-12-29 22:58:18 INFO  HomePage:17 - Opening website
2020-12-29 23:02:28 INFO  HomePage:17 - Opening Sahibinden
2020-12-29 23:02:59 INFO  HomePage:17 - Opening Sahibinden
2020-12-29 23:09:09 INFO  HomePage:17 - Opening Sahibinden
2020-12-29 23:09:09 INFO  TitleControl:34 - Sayfa baslik kontrolü yapılıyor
2020-12-29 23:14:55 INFO  HomePage:17 - Opening Sahibinden
2020-12-29 23:14:55 INFO  TitleControl:34 - Sayfa baslik kontrolü yapılıyor
2020-12-29 23:14:55 ERROR TitleControl:38 - Sayfa Başlığında Hata var
2020-12-29 23:56:01 INFO  HomePage:18 - Opening Sahibinden
2020-12-29 23:56:06 INFO  Login:32 - Beni Hatırla İşaretlendi
2020-12-29 23:56:07 INFO  Login:34 - Login Sayfasında Giriş yap butonuna tıklandı
2020-12-29 23:57:03 INFO  HomePage:18 - Opening Sahibinden
2020-12-29 23:57:58 INFO  HomePage:18 - Opening Sahibinden
2020-12-29 23:58:03 INFO  Login:33 - Beni Hatırla İşaretlendi
2020-12-29 23:58:04 INFO  Login:35 - Login Sayfasında Giriş yap butonuna tıklandı
2020-12-30 00:01:29 INFO  HomePage:18 - Opening Sahibinden
2020-12-30 00:01:34 INFO  Login:39 - Beni Hatırla İşaretlendi
2020-12-30 00:01:35 INFO  Login:41 - Login Sayfasında Giriş yap butonuna tıklandı
2020-12-30 00:05:33 INFO  HomePage:18 - Opening Sahibinden
2020-12-30 00:05:38 INFO  Login:39 - Beni Hatırla İşaretlendi
2020-12-30 00:05:39 INFO  Login:41 - Login Sayfasında Giriş yap butonuna tıklandı
2020-12-30 00:06:17 INFO  HomePage:18 - Opening Sahibinden
2020-12-30 00:06:23 INFO  Login:39 - Beni Hatırla İşaretlendi
2020-12-30 00:06:24 INFO  Login:41 - Login Sayfasında Giriş yap butonuna tıklandı
2020-12-30 00:07:37 INFO  HomePage:18 - Opening Sahibinden
2020-12-30 00:07:42 INFO  Login:39 - Beni Hatırla İşaretlendi
2020-12-30 00:07:43 INFO  Login:41 - Login Sayfasında Giriş yap butonuna tıklandı
